T1,T2,T3,T4,Delay,Offset
1520799867.190208,1520799870.223338,1520799870.223423,1520799870.223601,3033.3080291748047,1516.4759159088135
1520799870.22373,1520799873.28675,1520799873.286769,1520799873.286861,3063.1120204925537,1531.4639806747437
1520799873.286963,1520799876.221747,1520799876.221765,1520799876.221893,2934.9119663238525,1467.3279523849487
1520799876.221975,1520799879.171996,1520799879.172015,1520799879.172105,2950.111150741577,1474.9654531478882
1520799879.172599,1520799882.129901,1520799882.12992,1520799882.130049,2957.430839538574,1478.5864353179932
1520799882.130544,1520799885.118136,1520799885.118153,1520799885.118231,2987.6699447631836,1493.7570095062256
1520799885.118689,1520799888.13226,1520799888.132293,1520799888.132472,3013.7500762939453,1506.6959857940674
1520799888.133005,1520799891.113566,1520799891.113585,1520799891.113673,2980.648994445801,1490.236520767212
1520799891.113751,1520799894.133333,1520799894.133358,1520799894.133532,3019.756078720093,1509.7039937973022
1520799894.134498,1520799897.121196,1520799897.121216,1520799897.121317,2986.7990016937256,1493.2986497879028
1520799897.121617,1520799900.067546,1520799900.067562,1520799900.067639,2946.0058212280273,1472.9259014129639
1520799900.067711,1520799903.122121,1520799903.122148,1520799903.122346,3054.60786819458,1527.1060466766357
1520799903.122475,1520799906.140867,1520799906.140883,1520799906.14097,3018.479108810425,1509.1525316238403
1520799906.141045,1520799909.094613,1520799909.094643,1520799909.094808,2953.732967376709,1476.7014980316162
1520799909.094969,1520799912.076796,1520799912.076814,1520799912.0769,2981.9130897521973,1490.870475769043
1520799912.077354,1520799915.065957,1520799915.065976,1520799915.06607,2988.697290420532,1494.254469871521
1520799915.066164,1520799918.135594,1520799918.135612,1520799918.135699,3069.516897201538,1534.671425819397
1520799918.135798,1520799921.072569,1520799921.072586,1520799921.072668,2936.8529319763184,1468.3444499969482
1520799921.07314,1520799924.069224,1520799924.069247,1520799924.069381,2996.218204498291,1497.9751110076904
1520799924.069953,1520799927.105704,1520799927.105722,1520799927.10581,3035.839080810547,1517.831563949585
1520799927.106291,1520799930.109521,1520799930.109536,1520799930.109618,3003.3118724823,1501.573920249939
1520799930.110085,1520799933.102942,1520799933.102958,1520799933.103072,2992.9709434509277,1496.3715076446533
1520799933.103536,1520799936.150998,1520799936.151015,1520799936.151102,3047.549247741699,1523.6876010894775
1520799936.151177,1520799939.161247,1520799939.161263,1520799939.161337,3010.143995285034,1504.9980878829956
1520799939.161406,1520799942.179899,1520799942.179936,1520799942.180162,3018.718957901001,1509.1334581375122
1520799942.18256,1520799945.177222,1520799945.17724,1520799945.177331,2994.753122329712,1497.2854852676392
1520799945.177809,1520799948.191114,1520799948.191133,1520799948.19122,3013.3919715881348,1506.6089630126953
1520799948.191698,1520799951.216856,1520799951.216876,1520799951.216973,3025.254964828491,1512.5304460525513
1520799951.217093,1520799954.245797,1520799954.245828,1520799954.246145,3029.0210247039795,1514.1934156417847
1520799954.247519,1520799957.300734,1520799957.300751,1520799957.300825,3053.2891750335693,1526.570439338684
1520799957.300897,1520799960.260634,1520799960.260652,1520799960.260738,2959.8228931427,1479.8256158828735
1520799960.260814,1520799963.324956,1520799963.324973,1520799963.325054,3064.222812652588,1532.0305824279785
1520799963.325132,1520799966.340341,1520799966.340363,1520799966.340474,3015.320062637329,1507.5491666793823
1520799966.341399,1520799969.317838,1520799969.317856,1520799969.317946,2976.5288829803467,1488.174557685852
1520799969.318434,1520799972.353797,1520799972.353814,1520799972.353899,3035.4480743408203,1517.638921737671
1520799972.354369,1520799975.345,1520799975.345019,1520799975.34517,2990.7820224761963,1495.2400922775269
1520799975.345642,1520799978.362024,1520799978.362044,1520799978.362134,3016.4718627929688,1508.146047592163
1520799978.362611,1520799981.337568,1520799981.337586,1520799981.337669,2975.0399589538574,1487.4370098114014
1520799981.338218,1520799984.352208,1520799984.352227,1520799984.352314,3014.0769481658936,1506.9514513015747
1520799984.352783,1520799987.377944,1520799987.377962,1520799987.378053,3025.251865386963,1512.5350952148438
1520799987.378535,1520799990.370209,1520799990.370253,1520799990.370463,2991.8837547302246,1495.732069015503
1520799990.3717,1520799993.371856,1520799993.371877,1520799993.371993,3000.272035598755,1500.019907951355
1520799993.372836,1520799996.360668,1520799996.360688,1520799996.360778,2987.921953201294,1493.8708543777466
1520799996.361302,1520799999.397709,1520799999.397725,1520799999.397808,3036.489963531494,1518.1620121002197
1520799999.398247,1520800002.436498,1520800002.436515,1520800002.436605,3038.3408069610596,1519.0805196762085
1520800002.437068,1520800005.417003,1520800005.41702,1520800005.417099,2980.013847351074,1489.9280071258545
1520800005.417502,1520800008.401727,1520800008.401743,1520800008.401824,2984.3060970306396,1492.0719861984253
1520800008.402221,1520800011.422105,1520800011.422125,1520800011.42222,3019.9790000915527,1509.894609451294
1520800011.422752,1520800014.417867,1520800014.417884,1520800014.417968,2995.198965072632,1497.5155591964722
1520800014.418445,1520800017.475956,1520800017.475973,1520800017.476051,3057.589054107666,1528.7163257598877
